Airport,City,Longitude,Latitude
Albuquerque International Sunport,Albuquerque,-106.609001,35.040199
Joint Base Andrews,Camp Springs,-76.866997,38.810799
Fort Worth Alliance Airport,Fort Worth,-97.31880188,32.98759842
Augusta Regional At Bush Field,Augusta,-81.96450043,33.36989975
Rick Husband Amarillo International Airport,Amarillo,-101.706001,35.219398
Hartsfield Jackson Atlanta International Airport,Atlanta,-84.428101,33.6367
Austin Bergstrom International Airport,Austin,-97.66989899,30.19449997
Asheville Regional Airport,Asheville,-82.54180145,35.43619919
Beale Air Force Base,Marysville,-121.4369965,39.13610077
Barksdale Air Force Base,Bossier City,-93.66269684,32.50180054
Bradley International Airport,Hartford,-72.68319702,41.93889999
Boeing Field King County International Airport,Seattle,-122.302002,47.52999878
Bangor International Airport,Bangor,-68.82810211,44.80739975
Birmingham-Shuttlesworth International Airport,Birmingham,-86.75350189,33.56290054
Billings Logan International Airport,Billings,-108.5429993,45.80770111
Scott AFB/Midamerica Airport,Belleville,-89.835197,38.5452
Central Illinois Regional Airport at Bloomington-Normal,Bloomington/Normal,-88.91590118,40.47710037
Nashville International Airport,Nashville,-86.67819977,36.12450027
Boise Air Terminal/Gowen Field,Boise,-116.223,43.5644
General Edward Lawrence Logan International Airport,Boston,-71.00520325,42.36429977
Buffalo Niagara International Airport,Buffalo,-78.73220062,42.94049835
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,-76.668297,39.1754
Columbia Metropolitan Airport,Columbia,-81.11949921,33.93880081
Columbus Air Force Base,Columbus,-88.44380188,33.64379883
Lovell Field,Chattanooga,-85.20379639,35.03530121
Charleston Air Force Base-International Airport,Charleston,-80.04049683,32.89860153
The Eastern Iowa Airport,Cedar Rapids,-91.71080017,41.88470078
Cleveland Hopkins International Airport,Cleveland,-81.84980011,41.4117012
Charlotte Douglas International Airport,Charlotte,-80.94309998,35.2140007
John Glenn Columbus International Airport,Columbus,-82.891899,39.998001
Corpus Christi International Airport,Corpus Christi,-97.50119781,27.77039909
Yeager Airport,Charleston,-81.59320068,38.37310028
Cincinnati Northern Kentucky International Airport,Cincinnati,-84.6678009,39.04880142
Cannon Air Force Base,Clovis,-103.3219986,34.38280106
Daytona Beach International Airport,Daytona Beach,-81.058098,29.179899
Dallas Love Field,Dallas,-96.851799,32.847099
James M Cox Dayton International Airport,Dayton,-84.2193985,39.90240097
Dubuque Regional Airport,Dubuque,-90.70950317,42.40200043
Ronald Reagan Washington National Airport,Washington,-77.037697,38.8521
Denver International Airport,Denver,-104.6729965,39.86169815
Dallas Fort Worth International Airport,Dallas-Fort Worth,-97.038002,32.896801
DLF Airport,Del Rio,-100.778002,29.359501
Duluth International Airport,Duluth,-92.19360352,46.84209824
Dover Air Force Base,Dover,-75.46600342,39.12950134
Des Moines International Airport,Des Moines,-93.6631012,41.5340004
Detroit Metropolitan Wayne County Airport,Detroit,-83.35340118,42.21239853
Dyess Air Force Base,Abilene,-99.854599,32.42079926
Edwards Air Force Base,Edwards,-117.884003,34.905399
Vance Air Force Base,Enid,-97.91649628,36.33919907
Erie International Tom Ridge Field,Erie,-80.17386675,42.08312701
Newark Liberty International Airport,Newark,-74.16870117,40.69250107
Wright-Patterson Air Force Base,Dayton,-84.0483017,39.8260994
Fort Lauderdale Hollywood International Airport,Fort Lauderdale,-80.152702,26.072599
Fort Smith Regional Airport,Fort Smith,-94.36740112,35.33660126
Fort Worth Meacham International Airport,Fort Worth,-97.362396,32.819801
Fort Wayne International Airport,Fort Wayne,-85.19509888,40.97850037
Spokane International Airport,Spokane,-117.5339966,47.61989975
Gulfport Biloxi International Airport,Gulfport,-89.07009888,30.40730095
Austin Straubel International Airport,Green Bay,-88.12960052,44.48509979
Seymour Johnson Air Force Base,Goldsboro,-77.96060181,35.33940125
Piedmont Triad International Airport,Greensboro,-79.93730164,36.09780121
Greenville Spartanburg International Airport,Greenville,-82.21890259,34.89569855
Grissom Air Reserve Base,Peru,-86.15209961,40.64810181
Range Regional Airport,Hibbing,-92.83899689,47.38660049
Holloman Air Force Base,Alamogordo,-106.1070023,32.85250092
William P Hobby Airport,Houston,-95.27890015,29.64539909
Huntsville International Carl T Jones Field,Huntsville,-86.77510071,34.6371994
Tri-State/Milton J. Ferguson Field,Huntington,-82.55799866,38.36669922
Washington Dulles International Airport,Washington,-77.45580292,38.94449997
George Bush Intercontinental Houston Airport,Houston,-95.34140015,29.9843998
Wichita Eisenhower National Airport,Wichita,-97.433098,37.649899
Indianapolis International Airport,Indianapolis,-86.294403,39.7173
Jackson-Medgar Wiley Evers International Airport,Jackson,-90.07589722,32.31119919
Jacksonville International Airport,Jacksonville,-81.68789673,30.49410057
John F Kennedy International Airport,New York,-73.77890015,40.63980103
Joplin Regional Airport,Joplin,-94.49829865,37.15179825
McCarran International Airport,Las Vegas,-115.1520004,36.08010101
Los Angeles International Airport,Los Angeles,-118.4079971,33.94250107
Lubbock Preston Smith International Airport,Lubbock,-101.822998,33.663601
Rickenbacker International Airport,Columbus,-82.927803,39.813801
Blue Grass Airport,Lexington,-84.60590363,38.03649902
Langley Air Force Base,Hampton,-76.36049652,37.082901
Lafayette Regional Airport,Lafayette,-91.98760223,30.20529938
La Guardia Airport,New York,-73.87259674,40.77719879
Bill & Hillary Clinton National Airport/Adams Field,Little Rock,-92.22429657,34.72940063
Altus Air Force Base,Altus,-99.26670074,34.667099
Luke Air Force Base,Glendale,-112.3830032,33.53499985
MBS International Airport,Saginaw,-84.07959747,43.53290176
Mac Dill Air Force Base,Tampa,-82.52120209,27.84930038
Kansas City International Airport,Kansas City,-94.713898,39.2976
Orlando International Airport,Orlando,-81.30899811,28.42939949
Chicago Midway International Airport,Chicago,-87.752403,41.785999
Memphis International Airport,Memphis,-89.97669983,35.04240036
Dobbins Air Reserve Base,Marietta,-84.51629639,33.91540146
Montgomery Regional (Dannelly Field) Airport,Montgomery,-86.39399719,32.30059814
Miami International Airport,Miami,-80.29060364,25.79319954
General Mitchell International Airport,Milwaukee,-87.89659882,42.94720078
Quad City International Airport,Moline,-90.50749969,41.44850159
Monroe Regional Airport,Monroe,-92.03769684,32.51089859
Mobile Regional Airport,Mobile,-88.24279785,30.69120026
Dane County Regional Truax Field,Madison,-89.33750153,43.13990021
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,-93.221802,44.882
Louis Armstrong New Orleans International Airport,New Orleans,-90.25800323,29.99340057
Mountain Home Air Force Base,Mountain Home,-115.872002,43.043598
Metropolitan Oakland International Airport,Oakland,-122.221001,37.721298
